"product_id","current_type","new_type","product_name"
"8469431255229","","Women's Dresses","Full Size Ruffled Hem V-Neck Sleeveless Dress Plus Size"
"8469430894781","","Women's Tops","Graphic Round Neck Casual Sweatshirt"
"8469430698173","","Women's Tops","Full Size Hollow Out Round Neck Top Plus Size"
"8469430468797","","Women's Dresses","Umgee Abstract Print Babydoll Mini Dress"
"8469430304957","","Women's Tops","Zenana Seamless Winkle Stone Washed Tank Top"
"8469430173885","","Women's Tops","Western Patchwork Cow Drop Shoulder Sweatshirt"
"8469429944509","","Women's Tops","Lace Button Up Long Sleeve Shirt"
"8469429780669","","Women's Tops","Raw Seam Detail Solid Color Long Sleeve Top"
"8469429616829","","Women's Tops","Zenana V-Neck Short Sleeve Dolman Sweater"
"8469429420221","","Women's Tops","Denim Trim Button Detail Sweatshirt"
"8469429158077","","Women's Tops","Oversized Color-Block Crewneck Sweatshirt"
"8469428928701","","Women's Bottoms","Umgee Linen Elastic Waist Wide Leg Pants"
"8469428732093","","Women's Dresses","Texture Half Zip Cap Sleeve Mini Dress"
"8469428502717","","Women's Tops","Spaghetti Strap Leopard Long Sleeve Blouse"
"8469428371645","","Women's Bottoms","Ribbed Wide Leg Sweater Pants"
"8469428142269","","Men's Outerwear","Men's Plus Size Zip Up Raglan Sleeve Jacket"
"8469427978429","","Women's Bottoms","Openwork Cropped Tank and Split Skirt Set"
"8469427454141","","Women's Tops","Zenana Scuba Dolman Sleeve Sweatshirt"
"8469427126461","","Women's Tops","Stripe holly jolly Letter Embroidered Pullover Sweatshirt"
"8469426700477","","Women's Tops","Plaid Deep V-Neck Long Sleeve Slim Fit Blouse"
"8469426536637","","Women's Tops","Mandy Rolled Cap Sleeve Round Neck Sweater Vest"
"8469426274493","","Women's Tops","Star Contrast Round Neck Long Sleeve Knit Top"
"8469426208957","","Women's Tops","Umgee Printed Puff Sleeve Ruffle Neck Top"
"8469425979581","","Women's Dresses","Leopard Print Long Sleeve Shirt Dress with Contrast Trim"
"8469425750205","","Women's Dresses","Full Size Eyelet Ruffled Hem Tiered Dress Plus Size"
"8469425586365","","Women's Tops","Angel Wings Heathered Turtleneck Long Sleeve Sweater"
"8469425356989","","Women's Tops","Oversized Quarter-Zip Hoodie"
"8469424996541","","Women's Tops","Polka Dot Contrast Trim Leopard Round Neck Sweatshirt"
"8469424832701","","Women's Tops","Openwork Hooded Long Sleeve Sweater"
"8469424668861","","Women's Tops","Half Snap Dropped Shoulder Sweatshirt"
"8469520056509","","Men's Outerwear","Men's Plus Size Striped Zip Up Jacket"
"8469519925437","","Men's Outerwear","Men's Plus Size Contrast Trim Zip Up Jacket"
"8469519892669","","Men's Outerwear","Men's Plus Size Hooded Outdoor Windproof Coat"
"8469519859901","","Men's Outerwear","Men's Plus Size Zip Up Hooded Puffer Jacket"
"8469519696061","","Men's Outerwear","Men's Plus Size Lapel Collar Long Sleeve Outerwear"
"8469519630525","","Men's Outerwear","Men's Plus Size Plaid Button Up Casual Shacket"
"8469519564989","","Men's Outerwear","Men's Full Size Hooded Faux Leather Motorcycle Jacket Plus Size"
"8469519532221","","Men's Outerwear","Men's Plus Size Hooded Windproof Casual Jacket"
"8469519499453","","Men's Outerwear","Men's Plus Size Camouflage Zip Up Bomber Jacket"
"8469519401149","","Men's Outerwear","Men's Plus Size Vintage Motorcycle Faux Leather Bomber Jacket"
"8469519368381","","Men's Outerwear","Men's Full Size Camouflage Hooded Faux Leather Jacket Plus Size"
"8469519302845","","Men's T-Shirts","Men's Plus Size Letter Back Round Neck T-Shirt"
