"product_id","product_name","current_tags","recommended_tags"
"8469431255229","Full Size Ruffled Hem V-Neck Sleeveless Dress Plus Size","Rhythmia|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469430894781","Graphic Round Neck Casual Sweatshirt","Ship From Overseas|SYNZ","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469430698173","Full Size Hollow Out Round Neck Top Plus Size","Pure Craft|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469430468797","Umgee Abstract Print Babydoll Mini Dress","Ship from USA|Umgee USA","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469430304957","Zenana Seamless Winkle Stone Washed Tank Top","Ship from USA|Zenana","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469430173885","Western Patchwork Cow Drop Shoulder Sweatshirt","Ship From Overseas|SYNZ","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469429944509","Lace Button Up Long Sleeve Shirt","Casual Charm|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469429780669","Raw Seam Detail Solid Color Long Sleeve Top","Ship From Overseas|SYNZ","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469429616829","Zenana V-Neck Short Sleeve Dolman Sweater","Ship from USA|Zenana","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469429420221","Denim Trim Button Detail Sweatshirt","Casual Charm|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469429158077","Oversized Color-Block Crewneck Sweatshirt","Lovelet|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469428928701","Umgee Linen Elastic Waist Wide Leg Pants","Ship from USA|Umgee USA","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469428732093","Texture Half Zip Cap Sleeve Mini Dress","Diva & You|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469428502717","Spaghetti Strap Leopard Long Sleeve Blouse","Ship From Overseas|Yio Moda","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469428371645","Ribbed Wide Leg Sweater Pants","S.R|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469428142269","Men's Plus Size Zip Up Raglan Sleeve Jacket","Ship From Overseas|Soft Glow","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469427978429","Openwork Cropped Tank and Split Skirt Set","S.F|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469427454141","Zenana Scuba Dolman Sleeve Sweatshirt","Ship from USA|Zenana","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469427126461","Stripe holly jolly Letter Embroidered Pullover Sweatshirt","Ship From Overseas|SYNZ","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469426700477","Plaid Deep V-Neck Long Sleeve Slim Fit Blouse","She Wild|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469426536637","Mandy Rolled Cap Sleeve Round Neck Sweater Vest","Mandy|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469426274493","Star Contrast Round Neck Long Sleeve Knit Top","Ship From Overseas|SYNZ","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469426208957","Umgee Printed Puff Sleeve Ruffle Neck Top","Ship from USA|Umgee USA","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469425979581","Leopard Print Long Sleeve Shirt Dress with Contrast Trim","Ship From Overseas|Yio Moda","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469425750205","Full Size Eyelet Ruffled Hem Tiered Dress Plus Size","Eclectic Enclave|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469425586365","Angel Wings Heathered Turtleneck Long Sleeve Sweater","Ship From Overseas|Y.S.J.Y","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469425356989","Oversized Quarter-Zip Hoodie","Ash Memory|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469424996541","Polka Dot Contrast Trim Leopard Round Neck Sweatshirt","Ship From Overseas|SYNZ","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469424832701","Openwork Hooded Long Sleeve Sweater","Aimee|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469424668861","Half Snap Dropped Shoulder Sweatshirt","Ash Memory|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469520056509","Men's Plus Size Striped Zip Up Jacket","Open Mind|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519925437","Men's Plus Size Contrast Trim Zip Up Jacket","Open Mind|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519892669","Men's Plus Size Hooded Outdoor Windproof Coat","Calm Force|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519859901","Men's Plus Size Zip Up Hooded Puffer Jacket","Ship From Overseas|Simpli","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519696061","Men's Plus Size Lapel Collar Long Sleeve Outerwear","Hardy|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519630525","Men's Plus Size Plaid Button Up Casual Shacket","Low Tone|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519564989","Men's Full Size Hooded Faux Leather Motorcycle Jacket Plus Size","Ship From Overseas|ToughWear","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519532221","Men's Plus Size Hooded Windproof Casual Jacket","Calm Force|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519499453","Men's Plus Size Camouflage Zip Up Bomber Jacket","Ship From Overseas|UnyieldingMan","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519401149","Men's Plus Size Vintage Motorcycle Faux Leather Bomber Jacket","Ship From Overseas|ToughWear","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519368381","Men's Full Size Camouflage Hooded Faux Leather Jacket Plus Size","Calm Force|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519302845","Men's Plus Size Letter Back Round Neck T-Shirt","Fast Track|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519270077","Men's Plus Size Lapel Collar Button Up Blazer","Fine Print|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519171773","Men's Full Size Leather Biker Jacket with Zipper Pockets Plus Size","Ship From Overseas|ToughWear","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519106237","Men's Plus Size Hooded Colorblock Lightweight Jacket","Ship From Overseas|UnyieldingMan","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519073469","Men's Full Size Casual Linen Long Sleeve Polo Shirt Plus Size","JadeGent|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469519040701","Men's Plus Size Zip Up Long Sleeve Jacket","Hardy|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518909629","Men's Plus Size Vibrant Leaf Print Blazer","LusterMan|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518811325","Men's Plus Size Zip Up Long Sleeve Jacket","Ship From Overseas|ToughWear","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518778557","Button Detail Long Sleeve Shirt","Rhythmia|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518745789","Men's Full Size Longline Hooded Down Coat Plus Size","Ship From Overseas|Simpli","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518713021","Men's Full Size Full-Zip Outdoor Jacket Plus Size","Clean Slate|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518647485","Men's Plus Size Zip Up Hooded Contrast Puffer Jacket","Ship From Overseas|Simpli","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518614717","Men's Plus Size Zip Up Hooded Padded Puffer Jacket","Calm Force|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518418109","Men's Plus Size Slim Fit Velvet Blazer","Nobilityze|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518385341","Men's Plus Size Stand Collar Leather Moto Jacket","Hardy|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518352573","Men's Plus Size Dual Chest Pockets Shacket","Ship From Overseas|UnyieldingMan","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518319805","Men's Plus Size Zip Up Bomber Jacket","Clean Slate|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518287037","Men's Plus Size Zip Up Motorcycle Jacket","Ship From Overseas|ToughWear","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518254269","Men's Plus Size Classic Button Up Denim Blazer","Ship From Overseas|UnyieldingMan","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8469518090429","Men's Plus Size Drawstring Casual Hooded Parka Coat","Null|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
"8454878527677","Plaid Button-Up Cardigan","Pure Craft|Ship From Overseas","Merchant-confirmed only; do not infer best-seller or new-arrival"
