Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Care Instructions (product.metafields.custom.care_instructions),Disclosures (product.metafields.custom.disclosures),Made In (product.metafields.custom.made_in), Materials (product.metafields.custom.materials),Sizing & Fit (product.metafields.custom.sizing_and_fit),Age group (product.metafields.shopify.age-group),Battery type (product.metafields.shopify.battery-type),Blade material (product.metafields.shopify.blade-material),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Case type (product.metafields.shopify.case-type),Clipper motor type (product.metafields.shopify.clipper-motor-type),Closure type (product.metafields.shopify.closure-type),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Compatible device (product.metafields.shopify.compatible-device),Connectivity technology (product.metafields.shopify.connectivity-technology),Connector gender (product.metafields.shopify.connector-gender),Device interface (product.metafields.shopify.device-interface),Disclosures (product.metafields.shopify.disclosure),Downstream port types (product.metafields.shopify.downstream-port-types),Fabric (product.metafields.shopify.fabric),Finish (product.metafields.shopify.finish),Fit (product.metafields.shopify.fit),Handwear material (product.metafields.shopify.handwear-material),Host interface (product.metafields.shopify.host-interface),Integrated stand type (product.metafields.shopify.integrated-stand-type),Intimate apparel features (product.metafields.shopify.intimate-apparel-features),Light temperature (product.metafields.shopify.light-temperature),Lighting features (product.metafields.shopify.lighting-features),MagSafe compatibility (product.metafields.shopify.magsafe-compatibility),Material (product.metafields.shopify.material),Mobile phone case features (product.metafields.shopify.mobile-phone-case-features),Mounting type (product.metafields.shopify.mounting-type),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Pile type (product.metafields.shopify.pile-type),Power source (product.metafields.shopify.power-source),Rug/Mat features (product.metafields.shopify.rug-mat-features),Rug/Mat material (product.metafields.shopify.rug-mat-material),Sleeve length type (product.metafields.shopify.sleeve-length-type),Suit pieces (product.metafields.shopify.suit-pieces),Suitable location (product.metafields.shopify.suitable-location),Switch control type (product.metafields.shopify.switch-control-type),Target gender (product.metafields.shopify.target-gender),Tool mobility (product.metafields.shopify.tool-mobility),Top length type (product.metafields.shopify.top-length-type),USB connector type (product.metafields.shopify.usb-connector-type),USB standard (product.metafields.shopify.usb-standard),Waist rise (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Status
cream-textured-tie-front-crop-top-mini-skirt-set,Cream Textured Tie-Front Top & Mini Skirt Set,"<h2>Effortlessly Chic. Made for Sun-Kissed Days.</h2><p>Step into your most confident summer look with our <strong>Cream Textured Two-Piece Set</strong>. Featuring a flirty tie-front crop top and a matching bodycon mini skirt, this coordinated set is designed to turn heads at the beach, rooftop dinners, or weekend getaways.</p><p>The soft cream hue and delicate all-over texture give this set a luxe, resort-ready feel — effortlessly pairing with strappy sandals, gold jewelry, and a sun-kissed glow.</p><p><strong>What's Included</strong></p><ul>
<li>Tie-front V-neck crop top with spaghetti straps</li>
<li>Matching high-waist bodycon mini skirt</li>
</ul><p><strong>Key Features</strong></p><ul>
<li>
<strong>Textured fabric</strong> — adds dimension and a premium look</li>
<li>
<strong>Tie-front detail</strong> — adjustable fit with a flirty open-front style</li>
<li>
<strong>Coordinated set</strong> — wear together or style separately</li>
<li>
<strong>Cream/off-white colorway</strong> — versatile and easy to accessorize</li>
<li>
<strong>Bodycon mini skirt</strong> — flattering, figure-hugging silhouette</li>
</ul><p><strong>Perfect For</strong></p><ul>
<li>Beach vacations &amp; resort wear</li>
<li>Summer nights out &amp; rooftop events</li>
<li>Festival &amp; vacation outfits</li>
<li>Date nights &amp; brunch looks</li>
</ul>",Vennix,Apparel & Accessories > Clothing > Outfit Sets,Women's Sets,"crop top, fashion, mini skirt, resort wear, summer outfit, two piece set",true,Title,Default Title,,,,,,,,,680.388555,shopify,deny,manual,34.99,54.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499037_120_a7847a72-452f-4477-b244-eeaa1a7bbb13.jpg?v=1786577359,1,Cream Textured Tie-Front Top & Mini Skirt Set,false,Cream Textured Tie-Front Top & Mini Skirt Set | Vennix,"A cream textured two-piece set with a tie-front crop top and matching mini skirt, designed for warm-weather outfits, vacations, and evenings out.",Hand wash cold or gentle machine wash. Lay flat to dry. Do not bleach.,,,Textured polyester blend with stretch,Model is wearing size S. Fitted crop top with adjustable tie-front; bodycon mini skirt with stretch fit. Size up if between sizes.,,,,,,,,,,beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
cream-textured-tie-front-crop-top-mini-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499038_120_9a69c6a8-8a73-4f6a-8217-5e64298559d1.jpg?v=1786576773,2,Cream Textured Tie-Front Top & Mini Skirt Set — alternate view 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-textured-tie-front-crop-top-mini-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499039_120_c4f8bc78-cc21-4a3c-a1f2-e8080d3416f0.jpg?v=1786576745,3,Cream Textured Tie-Front Top & Mini Skirt Set — alternate view 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-textured-tie-front-crop-top-mini-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499033_120_b7acf015-d29c-45a3-8dad-a378c18a4931.jpg?v=1786576772,4,Cream Textured Tie-Front Top & Mini Skirt Set — alternate view 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-textured-tie-front-crop-top-mini-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499037_120_d9cee0bd-26f6-4fe0-a166-a35402c8c27a.jpg?v=1786576772,5,Cream Textured Tie-Front Top & Mini Skirt Set — alternate view 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream-textured-tie-front-crop-top-mini-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499037_120_a16721d1-a24b-49a5-81d8-5663120d05fc.jpg?v=1786577864,6,Cream Textured Tie-Front Top & Mini Skirt Set — alternate view 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go-love-joy-half-finger-fitness-cycling-gloves,Go Love Joy Half-Finger Training Gloves,"<h2>Train Harder. Grip Better. Go Further.</h2><p>Meet the <strong>Go Love Joy Half-Finger Gloves</strong> — your ultimate training companion for cycling, weightlifting, and gym workouts. Engineered for performance and built for comfort, these gloves keep your hands protected while giving you the tactile control you need to push your limits.</p><p><strong>Key Features</strong></p><ul>
<li>
<strong>Half-finger design</strong> — full dexterity for gripping handlebars, barbells, and equipment</li>
<li>
<strong>Breathable mesh upper</strong> — keeps hands cool and sweat-free during intense sessions</li>
<li>
<strong>Anti-slip palm padding</strong> — reinforced grip zones reduce fatigue and prevent blisters</li>
<li>
<strong>Adjustable wrist strap</strong> — secure, customizable fit for every hand size</li>
<li>
<strong>Dual-color options</strong> — Pink/Black for a bold feminine look, Gray/Green for a performance-focused style</li>
</ul><p><strong>Perfect For</strong></p><ul>
<li>Road cycling &amp; mountain biking</li>
<li>Weightlifting &amp; cross-training</li>
<li>Gym workouts &amp; fitness classes</li>
</ul><p>Whether you're hitting the trails or crushing a PR at the gym, Go Love Joy gloves deliver the grip, protection, and style to match your hustle.</p>",Vennix,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Bicycle Gloves,Fitness Accessories,"cycling gloves, fashion, fitness gloves, gym gloves, half finger gloves, workout gloves",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,24.99,39.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499018_120_026d672d-1db1-4143-8d20-58558105681b.jpg?v=1786577345,1,Go Love Joy Half-Finger Training Gloves,false,Go Love Joy Half-Finger Training Gloves | Vennix,"Breathable half-finger training gloves with an anti-slip palm and adjustable wrist support for cycling, weightlifting, and gym sessions.",,,,,,,,,,,,,,,pink; grey,,,,,,,,,,mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,active
go-love-joy-half-finger-fitness-cycling-gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499019_120_47450903-7b84-4ec8-a1cd-089c294fb993.jpg?v=1786577348,2,Go Love Joy Half-Finger Training Gloves — alternate view 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go-love-joy-half-finger-fitness-cycling-gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499018_120_03160101-fb03-47ad-a96a-c3060bb142b1.jpg?v=1786577351,3,Go Love Joy Half-Finger Training Gloves — alternate view 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go-love-joy-half-finger-fitness-cycling-gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499023_121_96d4ad51-065f-436d-b00f-f4416b3b3fd6.jpg?v=1786577353,4,Go Love Joy Half-Finger Training Gloves — alternate view 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go-love-joy-half-finger-fitness-cycling-gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/5181493579086499022_120_bd4c33ab-68e5-4691-8e76-ce2b1c50933e.jpg?v=1786577357,5,Go Love Joy Half-Finger Training Gloves — alternate view 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,Fluffy Cat-Ear Braided Y2K Hat,"<p><strong>Style: Yabi Style</strong></p><p><strong>Product Category: Ear-flap Hat</strong></p><p><strong>Function: Warm, Windproof</strong></p><p><strong>Cap Top Style: High-top</strong></p><p><strong>Brim Style: Rimless</strong></p><p><strong>Color: White, Black, Red, Pink, Green</strong></p><p><strong>Unit: cm</strong></p><p></p><table>
<thead><tr class=""firstRow"">
<th>Item</th>
<th>Size</th>
</tr></thead>
<tbody>
<tr>
<td>Hat</td>
<td>37cm / 14.6in</td>
</tr>
<tr>
<td>Length</td>
<td>75cm / 29.5in</td>
</tr>
</tbody>
</table><img src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/image/202607/17BFDA06DC4676480FE427A4EFD7E831.png"" title=""17BFDA06DC4676480FE427A4EFD7E831.png"" alt=""image.png""><img src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/image/202607/8E1D604B99C477758EDC13BD093016D3.png"" title=""8E1D604B99C477758EDC13BD093016D3.png"" alt=""image.png""><img src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/image/202607/1534BB2CFBBC101080E621FE29C4C1E1.png"" title=""1534BB2CFBBC101080E621FE29C4C1E1.png"" alt=""image.png""><p></p><p><img src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202607/D7BC54D6AAEF9C417BDABEDDD0D30B43.jpg""> 
 <img src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/pingtai/202607/748515F96EE32C898F4355A66000C54D.jpg""> 
 <img src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/image/202607/CA135CF8301E061EBCC5C5C34EBDA4A2.png"" title=""CA135CF8301E061EBCC5C5C34EBDA4A2.png"" alt=""image.png""> 
  </p><p><img src=""https://shopifyfile.oss-accelerate.aliyuncs.com/attached/image/202607/0942832B2C44007B2B651754B7C396FF.png"" title=""0942832B2C44007B2B651754B7C396FF.png"" alt=""image.png""></p>",eprolo,Uncategorized,Hats & Headwear,"fashion, featured",true,Color,White,,,,,,,,2B65072A9C8542F8A5144454463E9F53,380.0,shopify,continue,manual,33.64,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/8408E9579B464FED5097729892E4D2F6.jpg?v=1786573789,1,Fluffy Cat-Ear Braided Y2K Hat,false,Fluffy Cat-Ear Braided Y2K Hat | Vennix,"A playful fluffy cat-ear hat with braided ear flaps and star details, designed to add warmth and Y2K-inspired character to cold-weather looks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/A23EC503B7F09B51AFF89A60921389F7.jpg?v=1786573797,g,,active
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,,,,,,,,,Black,,,,,,,,4937E9D8F3774DEBA7DD448BEEA5B94D,380.0,shopify,continue,manual,33.64,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/DE102B71DCD2C4C5B8E4E21CCE35B34D.jpg?v=1786573791,2,Fluffy Cat-Ear Braided Y2K Hat — alternate view 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/E8BE132AB8A5D994AAD5EFD5979C8E29.jpg?v=1786573800,g,,
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,,,,,,,,,Red,,,,,,,,485EDB1B13E44582AC3708E6D85283B2,380.0,shopify,continue,manual,33.64,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/7220C4B7C034B275FABB38F18914F849.jpg?v=1786573793,3,Fluffy Cat-Ear Braided Y2K Hat — alternate view 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/24E9FE2E93C91DA1146FFA4688713CD1.jpg?v=1786573795,g,,
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,,,,,,,,,Pink,,,,,,,,9C8E111DA798451B80DC083AB5B818D3,380.0,shopify,continue,manual,33.64,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/24E9FE2E93C91DA1146FFA4688713CD1.jpg?v=1786573795,4,Fluffy Cat-Ear Braided Y2K Hat — alternate view 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/B50F5A924860890A183B62A9C3909F0D.jpg?v=1786573803,g,,
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,,,,,,,,,Green,,,,,,,,4E76017A8850457E8987065A8ACE2857,380.0,shopify,continue,manual,33.64,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/A23EC503B7F09B51AFF89A60921389F7.jpg?v=1786573797,5,Fluffy Cat-Ear Braided Y2K Hat — alternate view 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/D0243A1DBD557E938BD9B4A18548B4D0.jpg?v=1786573805,g,,
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/E8BE132AB8A5D994AAD5EFD5979C8E29.jpg?v=1786573800,6,Fluffy Cat-Ear Braided Y2K Hat — alternate view 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/B50F5A924860890A183B62A9C3909F0D.jpg?v=1786573803,7,Fluffy Cat-Ear Braided Y2K Hat — alternate view 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
original-fluffy-cat-ear-hat-lolita-spiky-star-braided-hair-hat-autumn-winter-warmth-subculture-y2k-headwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0778/3278/2013/files/D0243A1DBD557E938BD9B4A18548B4D0.jpg?v=1786573805,8,Fluffy Cat-Ear Braided Y2K Hat — alternate view 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
