"productId","productTitle","productType","vendor","tags","collections","recommendedAction","reason"
"gid://shopify/Product/8379395113149","Mini USB Aroma Humidifier","Humidifiers & Diffusers","Trendsi","featured; home; home decor","Featured Essentials","Review for removal","Electronics product; Home & living product"
"gid://shopify/Product/8469426897085","925 Sterling Silver Inlaid Moissanite Huggie Earrings","Earrings","Trendsi","DY-N; Ship From Overseas","","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490972741821","Gothic Punk Star Charm Toggle Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490976772285","Gothic Cross Pendant Layered Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490979033277","Gothic Charm Choker Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490979393725","Gothic Lace Choker Necklace with Teardrop Dangle Charms","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490979623101","18K Gold-Plated Zircon Chain Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490979819709","Bat-Wing Shaped Gothic Sunglasses","Sunglasses","Trendsi","Gaze; Ship From Overseas","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490981097661","Gothic Rose Cross Dangle Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490981294269","Gothic Cross Pendant Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490982899901","Gothic Star and Cross Charm Choker Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
"gid://shopify/Product/8490986176701","Gothic Multi-Layered Beaded Necklace","Necklaces","Trendsi","Ship From Overseas; Spellbinding Glitterstone","Women's Clothing","Review for removal","Other non-fashion/non-fitness product"
